127.0.0.1, 2015-06-21 20:43:03, GET, /calculando_backend/static/js/calendar.js, HTTP/1.1, 304, 0.001822
127.0.0.1, 2015-06-21 20:43:03, GET, /calculando_backend/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 304, 0.004095
127.0.0.1, 2015-06-21 20:43:03, GET, /calculando_backend/static/js/bootstrap.min.js, HTTP/1.1, 304, 0.014153
127.0.0.1, 2015-06-21 20:43:03, GET, /calculando_backend/static/css/web2py-bootstrap3.css, HTTP/1.1, 304, 0.011012
127.0.0.1, 2015-06-21 20:43:03, GET, /calculando_backend/static/css/calendar.css, HTTP/1.1, 304, 0.005454
127.0.0.1, 2015-06-21 20:43:03, GET, /calculando_backend/static/js/web2py.js, HTTP/1.1, 304, 0.003860
127.0.0.1, 2015-06-21 20:43:03, GET, /calculando_backend/static/js/share.js, HTTP/1.1, 304, 0.009380
127.0.0.1, 2015-06-21 20:43:03, GET, /calculando_backend/static/js/web2py-bootstrap3.js, HTTP/1.1, 304, 0.002054
127.0.0.1, 2015-06-21 20:43:03, GET, /calculando_backend/static/js/jquery.js, HTTP/1.1, 304, 0.005231
127.0.0.1, 2015-06-21 20:43:03, GET, /calculando_backend/static/images/twitter.png, HTTP/1.1, 304, 0.005526
127.0.0.1, 2015-06-21 20:43:03, GET, /calculando_backend/static/images/gplus-32.png, HTTP/1.1, 304, 0.001848
127.0.0.1, 2015-06-21 20:43:03, GET, /calculando_backend/static/images/facebook.png, HTTP/1.1, 304, 0.003887
127.0.0.1, 2015-06-21 20:43:09, GET, /calculando_backend/default/api/score_history/1.json, HTTP/1.1, 200, 0.061821
127.0.0.1, 2015-06-21 20:43:13, GET, /calculando_backend/default/api/score_history/2.json, HTTP/1.1, 200, 0.060625
127.0.0.1, 2015-06-21 20:43:31, GET, /calculando_backend/default/api/score_history/, HTTP/1.1, 200, 0.066121
127.0.0.1, 2015-06-21 20:43:38, GET, /calculando_backend/default/api/, HTTP/1.1, 200, 0.085843
127.0.0.1, 2015-06-21 20:47:22, GET, /calculando_backend/leaderboard/api, HTTP/1.1, 500, 0.735020
127.0.0.1, 2015-06-21 20:47:25, GET, /admin/default/ticket/calculando_backend/127.0.0.1.2015-06-21.20-47-22.404422a8-d01b-42a4-b30b-b41cbb6e1526, HTTP/1.1, 200, 0.181702
127.0.0.1, 2015-06-21 20:47:41, GET, /calculando_backend/leaderboard/api, HTTP/1.1, 200, 0.068247
127.0.0.1, 2015-06-21 20:49:03, GET, /calculando_backend/leaderboard/api, HTTP/1.1, 200, 0.081711
127.0.0.1, 2015-06-21 22:08:37, GET, /calculando_backend/leaderboard/api, HTTP/1.1, 200, 0.430602
127.0.0.1, 2015-06-21 22:09:03, GET, /calculando_backend/leaderboard/api, HTTP/1.1, 200, 0.211919
127.0.0.1, 2015-06-21 22:09:46, GET, /calculando_backend/leaderboard/api, HTTP/1.1, 200, 0.085299
127.0.0.1, 2015-06-21 22:09:47, GET, /calculando_backend/leaderboard/api, HTTP/1.1, 200, 0.063286
127.0.0.1, 2015-06-21 22:12:00, GET, /calculando_backend/leaderboard/api, HTTP/1.1, 200, 0.178795
127.0.0.1, 2015-06-21 22:15:46, GET, /calculando_backend/leaderboard/api, HTTP/1.1, 200, 0.192408
127.0.0.1, 2015-06-21 22:16:35, GET, /calculando_backend/leaderboard/api, HTTP/1.1, 200, 0.177263
